Type,Localisation,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2,Current_state,Age
Appartements,Bourgogne Ouest,2600000,131.0,1.0,3.0,3.0,3.0,"['Bon état', '5-10 ans']",19847.32824427481,Bon état,5-10 ans
Villas,Ain Diab,7700000,574.0,5.0,4.0,4.0,0.0,"['Bon état', '10-20 ans']",13414.634146341465,Bon état,10-20 ans
Appartements,Oasis,1100000,55.0,2.0,1.0,2.0,2.0,"['Nouveau', ""Moins d'un an""]",20000.0,Nouveau,Moins d'un an
Appartements,Racine,3950000,238.0,5.0,3.0,2.0,4.0,['Bon état'],16596.638655462186,Bon état,
Appartements,Californie,1725000,130.0,5.0,3.0,2.0,3.0,"['Bon état', '5-10 ans']",13269.23076923077,Bon état,5-10 ans
Appartements,La Gironde,880000,91.0,3.0,2.0,2.0,1.0,['Nouveau'],9670.329670329673,Nouveau,
Appartements,Les Hôpitaux,1680000,112.0,3.0,2.0,2.0,1.0,['Nouveau'],15000.0,Nouveau,
Appartements,Les Hôpitaux,1287900,80.0,3.0,2.0,2.0,1.0,['Nouveau'],16098.75,Nouveau,
Appartements,CIL (Hay Salam),3100000,150.0,4.0,2.0,2.0,2.0,"['Bon état', ""Moins d'un an""]",20666.666666666668,Bon état,Moins d'un an
Villas,Anfa,18500000,1000.0,9.0,5.0,5.0,0.0,['Nouveau'],18500.0,Nouveau,
Appartements,Bourgogne Ouest,1300000,81.0,3.0,3.0,2.0,1.0,"['Nouveau', '5-10 ans']",16049.382716049382,Nouveau,5-10 ans
Appartements,Bourgogne Ouest,2850000,219.0,4.0,3.0,2.0,3.0,"['Bon état', '10-20 ans']",13013.698630136989,Bon état,10-20 ans
Appartements,Gauthier,1500000,74.0,2.0,1.0,1.0,1.0,"['Nouveau', ""Moins d'un an""]",20270.27027027027,Nouveau,Moins d'un an
Appartements,Maârif,2800000,163.0,5.0,3.0,3.0,2.0,"['À rénover', '10-20 ans']",17177.914110429447,À rénover,10-20 ans
Appartements,Aïn Sebaâ,750000,84.0,4.0,2.0,1.0,3.0,"['Bon état', '10-20 ans']",8928.57142857143,Bon état,10-20 ans
Appartements,Anfa,2150000,133.0,4.0,3.0,2.0,4.0,['Bon état'],16165.413533834586,Bon état,
Villas,Californie,14000000,1200.0,6.0,5.0,4.0,0.0,['Bon état'],11666.666666666666,Bon état,
Appartements,Racine,3250000,123.0,3.0,2.0,3.0,5.0,"['Nouveau', ""Moins d'un an""]",26422.76422764228,Nouveau,Moins d'un an
Appartements,Triangle d'Or,2750000,150.0,5.0,3.0,2.0,1.0,"['Bon état', '10-20 ans']",18333.33333333333,Bon état,10-20 ans
Appartements,Racine,4900000,318.0,5.0,4.0,3.0,2.0,"['Bon état', '10-20 ans']",15408.805031446542,Bon état,10-20 ans
Appartements,Palmier,3100000,168.0,4.0,3.0,2.0,3.0,['Bon état'],18452.380952380958,Bon état,
Villas,Ain Diab Extension,7700000,400.0,6.0,4.0,4.0,0.0,"['Bon état', '5-10 ans']",19250.0,Bon état,5-10 ans
Appartements,Mers Sultan,1600000,132.0,8.0,3.0,2.0,1.0,"['Bon état', ""Moins d'un an""]",12121.212121212122,Bon état,Moins d'un an
Appartements,Les Hôpitaux,2500000,153.0,4.0,3.0,2.0,8.0,"['À rénover', '10-20 ans']",16339.869281045752,À rénover,10-20 ans
Appartements,CIL (Hay Salam),2500000,136.0,4.0,3.0,2.0,3.0,"['Bon état', '5-10 ans']",18382.352941176472,Bon état,5-10 ans
Appartements,Californie,1300000,100.0,4.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",13000.0,Bon état,10-20 ans
Villas,Sidi Maarouf,2750000,320.0,8.0,5.0,5.0,0.0,"['Bon état', '1-5 ans']",8593.75,Bon état,1-5 ans
Appartements,Oulfa,640000,74.0,3.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",8648.648648648648,Bon état,10-20 ans
Appartements,La Gironde,1150000,109.0,4.0,3.0,2.0,3.0,"['Bon état', '5-10 ans']",10550.45871559633,Bon état,5-10 ans
Villas,Californie,8000000,510.0,13.0,4.0,3.0,0.0,"['Bon état', '10-20 ans']",15686.27450980392,Bon état,10-20 ans
Appartements,Racine,4000000,176.0,6.0,3.0,3.0,5.0,"['Bon état', '10-20 ans']",22727.272727272728,Bon état,10-20 ans
Appartements,Les princesses,2150000,108.0,6.0,2.0,2.0,4.0,"['Nouveau', ""Moins d'un an""]",19907.40740740741,Nouveau,Moins d'un an
Villas,Longchamps (Hay Al Hanâa),13500000,972.0,12.0,4.0,4.0,0.0,"['À rénover', '20-30 ans']",13888.888888888889,À rénover,20-30 ans
Appartements,Racine,2200000,112.0,4.0,3.0,3.0,5.0,"['Bon état', '10-20 ans']",19642.85714285714,Bon état,10-20 ans
Appartements,Maârif Extension,950000,55.0,1.0,1.0,1.0,2.0,"['Bon état', '1-5 ans']",17272.727272727272,Bon état,1-5 ans
Appartements,Maârif,4900000,318.0,7.0,5.0,4.0,3.0,"['Bon état', '1-5 ans']",15408.805031446542,Bon état,1-5 ans
Villas,Longchamps (Hay Al Hanâa),16000000,525.0,7.0,4.0,6.0,0.0,"['Nouveau', ""Moins d'un an""]",30476.19047619048,Nouveau,Moins d'un an
Appartements,Oulfa,500000,57.0,3.0,2.0,2.0,1.0,"['Bon état', '1-5 ans']",8771.929824561403,Bon état,1-5 ans
Appartements,Sidi Maarouf,370000,55.0,3.0,2.0,2.0,4.0,['Bon état'],6727.272727272727,Bon état,
Appartements,Mers Sultan,1000000,71.0,4.0,2.0,1.0,4.0,['Bon état'],14084.50704225352,Bon état,
Appartements,Maârif Extension,2500000,161.0,3.0,2.0,2.0,3.0,['Bon état'],15527.950310559008,Bon état,
Villas,Ain Diab,11950000,567.0,10.0,4.0,4.0,0.0,['Bon état'],21075.83774250441,Bon état,
Villas,Ain Diab,9500000,414.0,10.0,4.0,4.0,0.0,"['Bon état', '10-20 ans']",22946.859903381643,Bon état,10-20 ans
Appartements,Californie,1780000,110.0,4.0,3.0,2.0,5.0,['Bon état'],16181.818181818182,Bon état,
Appartements,Maârif Extension,3200000,175.0,4.0,3.0,2.0,1.0,['Bon état'],18285.714285714286,Bon état,
Appartements,Californie,1100000,86.0,2.0,2.0,2.0,3.0,"['Bon état', '5-10 ans']",12790.697674418603,Bon état,5-10 ans
Appartements,Belvédère,750000,85.0,3.0,2.0,1.0,5.0,"['Bon état', '10-20 ans']",8823.529411764706,Bon état,10-20 ans
Appartements,Racine,2600000,126.0,4.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",20634.92063492064,Bon état,10-20 ans
Appartements,Maârif,2500000,193.0,5.0,2.0,2.0,5.0,"['Bon état', '5-10 ans']",12953.36787564767,Bon état,5-10 ans
