Type,Localisation,Latitude,Longitude,Price,Area,Rooms,Bedrooms,Bathrooms,Floor,Other_tags,Price_m2
Appartements,Gauthier,33.58891909184207,-7.628674507141113,5000000,290.0,5.0,3.0,4.0,10.0,"['Nouveau', '1-5 ans']",17241.379310344826
Appartements,Casablanca Marina,,,3200000,113.0,3.0,2.0,2.0,,"['Bon état', '1-5 ans']",28318.58407079646
Appartements,Ain Diab,33.60398138007997,-7.640221752226353,2150000,74.0,2.0,1.0,2.0,,"['Bon état', '1-5 ans']",29054.054054054053
Villas,Ain Diab,33.58630932470067,-7.671375274658203,10000000,540.0,,4.0,4.0,0.0,[],18518.51851851852
Appartements,Beauséjour,33.56647651722588,-7.649579304386521,1350000,107.0,2.0,2.0,2.0,2.0,"['Bon état', '10-20 ans']",12616.822429906542
Appartements,Bourgogne Ouest,,,1500000,99.0,4.0,2.0,2.0,4.0,"['Bon état', '10-20 ans']",15151.515151515152
Villas,Riviera,33.56783540611906,-7.641506195068388,9690000,510.0,2.0,2.0,2.0,0.0,['Bon état'],19000.0
Appartements,Oulfa,,,4800000,121.0,5.0,3.0,2.0,2.0,"['Bon état', '10-20 ans']",39669.42148760331
Appartements,Ain Borja,33.56601837448065,-7.595522403717041,1200000,101.0,5.0,3.0,2.0,,"['Bon état', '5-10 ans']",11881.18811881188
Maisons,Sidi Maarouf,33.53648640355496,-7.652326845123412,1950000,200.0,3.0,4.0,2.0,0.0,"['Bon état', '5-10 ans']",9750.0
Maisons,Hay M'barka,32.34023266790936,-7.437744140625,2100000,77.0,10.0,4.0,3.0,0.0,"['Bon état', '20-30 ans']",27272.727272727272
Appartements,Racine,,,2800000,150.0,5.0,3.0,4.0,3.0,"['Bon état', '10-20 ans']",18666.666666666668
Appartements,Triangle d'Or,33.582734173084866,-7.675838470458984,2450000,140.0,7.0,2.0,2.0,2.0,"['Bon état', '10-20 ans']",17500.0
Appartements,Sidi El Khadir,33.565635825833354,-7.693772202535257,1200000,129.0,4.0,3.0,2.0,2.0,"['Bon état', '5-10 ans']",9302.32558139535
Appartements,El Manar - El Hank,33.60554296345457,-7.655153274536047,3060000,122.0,4.0,3.0,2.0,5.0,"['Nouveau', ""Moins d'un an""]",25081.967213114753
Appartements,Maârif Extension,,,1760000,119.0,6.0,3.0,2.0,4.0,['Bon état'],14789.915966386554
Appartements,Gauthier,,,2200000,75.0,3.0,2.0,1.0,,['Bon état'],29333.333333333332
Appartements,Triangle d'Or,,,2100000,126.0,4.0,2.0,2.0,,['Bon état'],16666.666666666668
Appartements,Les Hôpitaux,33.57797899192462,-7.62000560760498,2873000,221.0,6.0,3.0,3.0,1.0,"['À rénover', '20-30 ans']",13000.0
Appartements,Bourgogne Ouest,33.598304662993705,-7.644252777099609,800000,75.0,2.0,1.0,1.0,6.0,['Bon état'],10666.666666666666
Appartements,Hay Hakam,33.58291740320635,-7.57586181163785,640000,72.0,3.0,2.0,1.0,4.0,['Bon état'],8888.888888888889
Appartements,Californie,33.53595755299843,-7.625627517700195,3200000,193.0,4.0,3.0,2.0,2.0,"['Bon état', '1-5 ans']",16580.310880829016
Appartements,Anassi,,,360000,60.0,3.0,2.0,1.0,1.0,"['Bon état', '10-20 ans']",6000.0
Appartements,Anassi,,,420000,64.0,3.0,2.0,1.0,,"['Bon état', '10-20 ans']",6562.5
Appartements,CIL (Hay Salam),33.57243690885356,-7.657556533813477,1450000,120.0,4.0,3.0,2.0,3.0,"['Bon état', '10-20 ans']",12083.333333333334
Villas,Anfa,33.596175974504256,-7.657470703125,30000000,733.0,,4.0,3.0,0.0,[],40927.69440654843
Appartements,Racine,,,3800000,150.0,5.0,3.0,2.0,3.0,['Bon état'],25333.333333333332
Appartements,Beausite,33.59935020000002,-7.532672200000007,960000,80.0,4.0,3.0,2.0,1.0,"['Nouveau', ""Moins d'un an""]",12000.0
Appartements,Lissasfa,,,330000,50.0,3.0,2.0,1.0,4.0,"['Bon état', '5-10 ans']",6600.0
Appartements,Les Hôpitaux,33.57797899192462,-7.62000560760498,2100000,189.0,5.0,3.0,2.0,,['Bon état'],11111.111111111111
Appartements,Anfa,,,6900000,299.0,7.0,5.0,4.0,,['Nouveau'],23076.923076923078
Appartements,Oulfa,33.124596,-7.857645,900000,87.0,4.0,2.0,1.0,2.0,"['Bon état', '10-20 ans']",10344.827586206897
Appartements,Les Hôpitaux,,,760000,45.0,2.0,1.0,1.0,3.0,"['À rénover', '5-10 ans']",16888.88888888889
Appartements,Les Hôpitaux,33.57797899192462,-7.62000560760498,700000,39.0,1.0,1.0,1.0,,"['Bon état', ""Moins d'un an""]",17948.71794871795
Appartements,Belvédère,33.5895625839363,-7.59678840637207,750000,51.0,2.0,1.0,1.0,1.0,"['Nouveau', ""Moins d'un an""]",14705.882352941177
Appartements,Les Hôpitaux,33.57797899192462,-7.62000560760498,1250000,91.0,3.0,2.0,2.0,3.0,"['Bon état', '10-20 ans']",13736.263736263736
Appartements,Bourgogne Ouest,33.598304662993705,-7.644252777099609,1480000,120.0,3.0,2.0,2.0,3.0,[],12333.333333333334
Appartements,Beauséjour,33.568610876168464,-7.648673057556152,2000000,194.0,4.0,3.0,2.0,1.0,[],10309.278350515464
Appartements,Casablanca,33.57601248704883,-7.603912353515625,1600000,93.0,3.0,2.0,1.0,3.0,[],17204.301075268817
Maisons,Derb Salama,33.55736421911234,-7.574129104614258,1300000,116.0,4.0,3.0,1.0,0.0,"['À rénover', '20-30 ans']",11206.896551724138
Appartements,Palmier,,,1560000,110.0,4.0,3.0,2.0,2.0,"['Bon état', '10-20 ans']",14181.818181818182
Appartements,CIL (Hay Salam),,,1350000,106.0,3.0,2.0,2.0,,['Bon état'],12735.849056603774
Appartements,Derb Omar,33.5918862654264,-7.6146090030670734,1680000,106.0,3.0,2.0,1.0,5.0,"['Bon état', '1-5 ans']",15849.056603773584
Appartements,Triangle d'Or,33.582734173084866,-7.675838470458984,1590000,86.0,3.0,2.0,1.0,3.0,"['Bon état', '10-20 ans']",18488.372093023256
Appartements,Belvédère,,,680000,45.0,4.0,1.0,1.0,4.0,"['Nouveau', '1-5 ans']",15111.111111111111
Appartements,Les Hôpitaux,,,4800000,577.0,7.0,5.0,3.0,4.0,"['Bon état', '20-30 ans']",8318.890814558059
Appartements,Hay Moulay Abdellah,,,900000,75.0,2.0,2.0,1.0,,"['Bon état', '10-20 ans']",12000.0
Appartements,Beausite,33.5403931206837,-7.586510181427002,900000,80.0,3.0,2.0,1.0,2.0,['Bon état'],11250.0
Villas,Sidi Maarouf,,,5000000,550.0,,3.0,2.0,0.0,['Bon état'],9090.90909090909
Appartements,Bernoussi,33.60765980038504,-7.505960305115622,3300000,46.0,2.0,1.0,1.0,1.0,"['Bon état', '5-10 ans']",71739.13043478261
Appartements,Bourgogne Ouest,,,2000000,104.0,4.0,3.0,2.0,5.0,['Bon état'],19230.76923076923
Appartements,Maârif,,,820000,43.0,4.0,1.0,1.0,1.0,"['Bon état', '5-10 ans']",19069.767441860466
Appartements,Belvédère,,,810000,68.0,2.0,1.0,1.0,4.0,"['Bon état', '10-20 ans']",11911.764705882353
Appartements,Les princesses,33.57154299116339,-7.636313438415527,2900000,178.0,5.0,3.0,3.0,,['Bon état'],16292.134831460675
Appartements,Maârif Extension,,,2000000,100.0,3.0,2.0,2.0,4.0,['Bon état'],20000.0
Appartements,Anfa,33.596175974504256,-7.657470703125,2400000,179.0,6.0,2.0,3.0,20.0,"['Bon état', '20-30 ans']",13407.82122905028
Appartements,Ain Diab,,,4300000,230.0,4.0,3.0,3.0,1.0,"['Bon état', '1-5 ans']",18695.652173913044
Appartements,Bourgogne Ouest,33.59757223920457,-7.643994819357147,1950000,131.0,5.0,3.0,2.0,4.0,"['Bon état', '5-10 ans']",14885.496183206107
